fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
6111,CA,0.54,0.58,1.631,2.188,10.484,0.192,0.257,1.231
6113,CA,0.52,0.7,0.567,0.778,4.54,0.064,0.087,0.508
6115,CA,0.74,0.67,2.678,3.826,20.994,0.308,0.439,2.411
8001,CO,0.7,0.76,2.811,3.958,26.854,0.516,0.726,4.927
8003,CO,0.41,0.51,2.937,4.225,21.576,0.36,0.517,2.642
8005,CO,0.73,0.65,1.76,2.368,13.472,0.195,0.262,1.493
8007,CO,0.29,,0.799,0.996,3.068,0,0,0
8009,CO,0.32,,4.184,5.517,16.93,0,0,0
8013,CO,0.58,0.58,2.039,2.67,14.305,0.202,0.265,1.42
8015,CO,0.42,0.33,1.248,1.497,4.917,0.1,0.12,0.393
8017,CO,0.05,,5.864,8.13,28.571,0,0,0
8021,CO,0.17,,2.073,2.914,10.746,0,0,0
8029,CO,0.28,0.4,1.583,2.028,6.107,0.194,0.248,0.748
8031,CO,0.6,0.5,2.318,2.954,19.723,0.322,0.411,2.743
8035,CO,0.58,0.56,1.68,2.347,14.071,0.158,0.22,1.319
8037,CO,0.3,0.44,1.018,1.337,8.811,0.091,0.119,0.787
8041,CO,0.64,0.6,1.869,2.558,14.649,0.127,0.174,0.999
8043,CO,0.64,0.3,0.521,0.635,2.403,0.083,0.102,0.385
8045,CO,0.78,0.78,0.887,1.224,6.745,0.084,0.116,0.636
8049,CO,0.48,,1.353,1.667,7.687,0,0,0
8051,CO,0.26,,1.16,1.492,8.945,0,0,0
8055,CO,0.13,,2.323,2.83,7.449,0,0,0
8059,CO,0.61,0.66,0.421,0.539,2.556,0.031,0.04,0.189
8061,CO,0.65,,18.077,23.832,77.16,0,0,0
8063,CO,0.25,,2.653,3.662,13.718,0,0,0
8067,CO,0.46,0.39,1.669,2.142,9.723,0.195,0.251,1.138
8065,CO,0.09,,1.022,1.318,7.162,0,0,0
8069,CO,0.6,0.78,2.037,2.652,12.996,0.157,0.204,1.001
8071,CO,0.28,,1.724,2.194,7.084,0,0,0
8073,CO,0.17,,2.674,3.409,15.228,0,0,0
8075,CO,0.36,0.24,1.161,1.486,6.538,0.186,0.238,1.046
8077,CO,0.57,0.57,2.604,3.454,13.647,0.287,0.381,1.505
8081,CO,0.37,,1.896,2.633,12.376,0,0,0
